LPS	BMDM_Bl6_LPS_0000___Female	20040603_03_LPS1-0.CEL	/net/arrays/Affymetrix/core/probe_data/200406/20040603_03_LPS1-0.CEL
LPS	BMDM_Bl6_LPS_0000___Female	20040621_01_LPS2-0.CEL	/net/arrays/Affymetrix/core/probe_data/200406/20040621_01_LPS2-0.CEL
LPS	BMDM_Bl6_LPS_0000___Female	20040622_01_LPS3-0.CEL	/net/arrays/Affymetrix/core/probe_data/200406/20040622_01_LPS3-0.CEL
LPS	BMDM_Bl6_LPS_0020___Female	20040621_02_LPS2-20.CEL	/net/arrays/Affymetrix/core/probe_data/200406/20040621_02_LPS2-20.CEL
LPS	BMDM_Bl6_LPS_0020___Female	20040622_02_LPS3-20.CEL	/net/arrays/Affymetrix/core/probe_data/200406/20040622_02_LPS3-20.CEL
LPS	BMDM_Bl6_LPS_0020___Female	20040609_01_LPS1-20.CEL	/net/arrays/Affymetrix/core/probe_data/200406/20040609_01_LPS1-20.CEL
LPS	BMDM_Bl6_LPS_0040___Female	20040622_03_LPS3-40.CEL	/net/arrays/Affymetrix/core/probe_data/200406/20040622_03_LPS3-40.CEL
LPS	BMDM_Bl6_LPS_0040___Female	20040621_03_LPS2-40.CEL	/net/arrays/Affymetrix/core/probe_data/200406/20040621_03_LPS2-40.CEL
LPS	BMDM_Bl6_LPS_0040___Female	20040609_02_LPS1-40.CEL	/net/arrays/Affymetrix/core/probe_data/200406/20040609_02_LPS1-40.CEL
LPS	BMDM_Bl6_LPS_0060___Female	20040622_04_LPS3-60.CEL	/net/arrays/Affymetrix/core/probe_data/200406/20040622_04_LPS3-60.CEL
LPS	BMDM_Bl6_LPS_0060___Female	20040609_03_LPS1-60.CEL	/net/arrays/Affymetrix/core/probe_data/200406/20040609_03_LPS1-60.CEL
LPS	BMDM_Bl6_LPS_0060___Female	20040621_04_LPS2-60.CEL	/net/arrays/Affymetrix/core/probe_data/200406/20040621_04_LPS2-60.CEL
LPS	BMDM_Bl6_LPS_0080___Female	20040621_05_LPS2-80.CEL	/net/arrays/Affymetrix/core/probe_data/200406/20040621_05_LPS2-80.CEL
LPS	BMDM_Bl6_LPS_0080___Female	20040609_04_LPS1-80.CEL	/net/arrays/Affymetrix/core/probe_data/200406/20040609_04_LPS1-80.CEL
LPS	BMDM_Bl6_LPS_0080___Female	20040622_05_LPS3-80.CEL	/net/arrays/Affymetrix/core/probe_data/200406/20040622_05_LPS3-80.CEL
LPS	BMDM_Bl6_LPS_0120___Female	20040621_06_LPS2-120.CEL	/net/arrays/Affymetrix/core/probe_data/200406/20040621_06_LPS2-120.CEL
LPS	BMDM_Bl6_LPS_0120___Female	20040622_06_LPS3-120.CEL	/net/arrays/Affymetrix/core/probe_data/200406/20040622_06_LPS3-120.CEL
LPS	BMDM_Bl6_LPS_0120___Female	20040603_04_LPS1-120.CEL	/net/arrays/Affymetrix/core/probe_data/200406/20040603_04_LPS1-120.CEL
LPS	BMDM_Bl6_LPS_0240___Female	20050505_09_C57_LPS_B_240.CEL	/net/arrays/Affymetrix/core/probe_data/200505/20050505_09_C57_LPS_B_240.CEL
LPS	BMDM_Bl6_LPS_0240___Female	20050623_03_C57_LPS_C_240min.CEL	/net/arrays/Affymetrix/core/probe_data/200506/20050623_03_C57_LPS_C_240min.CEL
LPS	BMDM_Bl6_LPS_0240___Female	20050310_03_C57_A-240.CEL	/net/arrays/Affymetrix/core/probe_data/200503/20050310_03_C57_A-240.CEL
LPS	BMDM_Bl6_LPS_0360___Female	20050526_04_C57_B_LPS-360.CEL	/net/arrays/Affymetrix/core/probe_data/200505/20050526_04_C57_B_LPS-360.CEL
LPS	BMDM_Bl6_LPS_0360___Female	20050526_02_C57_A_LPS-360.CEL	/net/arrays/Affymetrix/core/probe_data/200505/20050526_02_C57_A_LPS-360.CEL
LPS	BMDM_Bl6_LPS_0480___Female	20050623_01_LPS_C1_8hr.CEL	/net/arrays/Affymetrix/core/probe_data/200506/20050623_01_LPS_C1_8hr.CEL
LPS	BMDM_Bl6_LPS_0480___Female	20050622_11_LPS_B1_8_hr.CEL	/net/arrays/Affymetrix/core/probe_data/200506/20050622_11_LPS_B1_8_hr.CEL
LPS	BMDM_Bl6_LPS_0480___Female	20050622_09_LPS_A1_8_hr.CEL	/net/arrays/Affymetrix/core/probe_data/200506/20050622_09_LPS_A1_8_hr.CEL
LPS	BMDM_Bl6_LPS_1080___Female	20050526_05_C57_B_LPS-1080.CEL	/net/arrays/Affymetrix/core/probe_data/200505/20050526_05_C57_B_LPS-1080.CEL
LPS	BMDM_Bl6_LPS_1080___Female	20050526_03_C57_A_LPS-1080.CEL	/net/arrays/Affymetrix/core/probe_data/200505/20050526_03_C57_A_LPS-1080.CEL
